K(120) : 100.0, 0.0 -> 100.0, 0.0*10.579074126921345
K(415) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.624913224089727
K(416) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.601661325445722
K(417) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.725117913441668
K(418) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.748160610859399
K(419) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.80205722804893
K(420) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.811031376613196
K(421) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.955623995376682
K(422) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.899807579075267
K(423) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.801723388589897
K(424) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.873499074449278
K(425) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.790073895894597
K(426) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.846037211327356
K(427) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.98207958338807
K(428) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.025287500707737
K(429) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.989141962697685
K(430) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.999037212718916
K(431) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.947203674710295
K(432) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.915106772377383
K(433) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.83832609678248
K(434) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.848473489560785
K(435) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.775122830539042
K(436) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.81315124292194
K(437) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.81729346262843
K(438) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.741085535717826
K(439) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.811007924791555
K(440) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.885843244890788
K(441) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.900179375567587
K(442) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.07969990102573
K(443) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.967676724794234
K(444) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.011461157540223
K(445) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.010598616939582
K(446) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.080171171812767
K(447) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.141272058851955
K(448) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.165188145345176
K(449) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.141814605730998
K(450) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.19767624250004
K(451) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.136479170596719
K(452) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.193851917230123
K(453) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.145014002453122
K(454) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.100921454138094
K(455) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.093382548227654
K(456) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.99644157565029
K(457) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.95991540497311
K(458) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.831905678749902
K(459) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.743260048734149
K(460) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.78913182780851
K(461) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.814834377693415
K(462) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.762659420808136
K(463) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.858939431796607
K(464) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.975302687874951
K(465) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.984375019205416
K(466) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.048226729467194
K(467) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.067540122491284
K(468) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.941784789491985
K(469) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.926336357364063
K(470) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.085719944651583
K(471) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.06672405478048
K(472) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.059201469295433
K(473) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.010670061602113
K(474) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.003048058224389
K(475) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.067766116986256
K(476) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.979044889256311
K(477) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.085898271699245
K(478) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.140568733273335
K(479) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.192186778050274
K(480) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.183007493309049
K(481) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.170651048231612
K(482) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.16642516304464
K(483) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.218128893198196
K(484) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.143938156785035
K(485) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.149625058004384
K(486) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.173834027063203
K(487) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.081026239096149
K(488) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.113307472543893
K(489) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.11373231473277
K(490) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.148870640669955
K(491) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.140579336012298
K(492) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.135181129390833
K(493) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.151493917264737
K(494) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.009716391623735
K(495) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.825434800174879
K(496) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.777811079563362
K(497) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.80662486700599
K(498) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.719486982401317
K(499) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.88588049802133
K(500) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.916159541904614
K(501) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.059566325625356
K(502) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.069589337767457
K(503) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.097595547585206
K(504) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.067597563171335
K(505) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.03001981071718
K(506) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*10.061631045668214
K(507) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.96837294167011
K(508) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.991181705330169
K(509) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.964640359212954
K(510) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.981695075605678
K(511) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.962318685346348
K(512) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.946435596330609
K(513) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.885483650394587
K(514) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.768502710161632
K(515) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.627137773267277
K(516) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.54486181402196
K(517) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.631358768753044
K(518) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.716427754680481
K(519) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.7582431312803
K(520) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.635229500110945
K(521) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.719188201151354
K(522) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.735189872369316
K(523) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.860876146294146
K(524) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.818450676275111
K(525) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.782083463609903
K(526) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.726542225893782
K(527) : 96.7424167814778, 0.0 -> 96.7424167814778, 0.0*9.70518175691541
B(528) : 96.7424167814778, 0.0 -> 46.20898195260584, 5.146527349141933*9.818938363807057
S(529) : 46.20898195260584, 5.146527349141933 -> 75.09637339769617, 2.219430826960163*9.868957591995816
S(530) : 75.09637339769617, 2.219430826960163 -> 88.79978104100087, 0.8371962123674992*9.913952015550567
S(531) : 88.79978104100087, 0.8371962123674992 -> 94.37270110288, 0.2751063101832699*9.914641839718653
S(532) : 94.37270110288, 0.2751063101832699 -> 96.14268497816748, 0.09789694433819618*9.98809440373992
S(533) : 96.14268497816748, 0.09789694433819618 -> 96.85393549660542, 0.026850036990173937*10.010999000334978
S(534) : 96.85393549660542, 0.026850036990173937 -> 97.05588730223697, 0.006630869266077911*9.98813642516412
S(535) : 97.05588730223697, 0.006630869266077911 -> 97.09966618853852, 0.002265148608754956*10.027871624841799
S(536) : 97.09966618853852, 0.002265148608754956 -> 97.1161524880588, 0.0006401040538775583*10.145136926124815
S(537) : 97.1161524880588, 0.0006401040538775583 -> 97.12192123205485, 6.939661164085894e-05*10.108058120701196
S(538) : 97.12192123205485, 6.939661164085894e-05 -> 97.12250997578403, 1.134548069887754e-05*10.141813253617643
S(539) : 97.12250997578403, 1.134548069887754e-05 -> 97.12261143108798, 1.2860239905730128e-06*10.085564946041272
S(540) : 97.12261143108798, 1.2860239905730128e-06 -> 97.12262192033103, 2.532136526524457e-07*10.156020583938941
S(541) : 97.12262192033103, 2.532136526524457e-07 -> 97.1226242696851, 2.3358741774283303e-08*10.22103060036378
S(542) : 97.1226242696851, 2.3358741774283303e-08 -> 97.12262450653044, 0.0*10.139473080975675
K(543) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.164998246009105
K(544) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.287309132594316
K(545) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.311918969895196
K(546) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.324592693090427
K(547) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.330000726924707
K(548) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.467993217464096
K(549) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.44783583285847
K(550) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.475201489653237
K(551) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.531273709011401
K(552) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.596199004847309
K(553) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.496950408115756
K(554) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.54354425669387
K(555) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.618931344893646
K(556) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.585986980808398
K(557) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.595180239178507
K(558) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.540954346568094
K(559) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.561110501052347
K(560) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.608911981166475
K(561) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.500674574901836
K(562) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.517683363976758
K(563) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.55000282018381
K(564) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.593436565240557
K(565) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.545360924198919
K(566) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.525058755539174
K(567) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.509142907884737
K(568) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.435887233394899
K(569) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.356584541758872
K(570) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.394461887447735
K(571) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.383680236603725
K(572) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.379358519745898
K(573) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.360991249753047
K(574) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.309312744249203
K(575) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.189632312201745
K(576) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.164782269268967
K(577) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.194379950769255
K(578) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.161568614848287
K(579) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.231752945430161
K(580) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.181243059435797
K(581) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.196648091383148
K(582) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.223536560616585
K(583) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.12440007724921
K(584) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.180628177261147
K(585) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.155088536700744
K(586) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.15363738878132
K(587) : 97.12262450653044, 0.0 -> 97.12262450653044, 0.0*10.039874894367419
B(588) : 97.12262450653044, 0.0 -> 44.761505793014145, 5.206311313809979*10.057239292361567
B(589) : 44.761505793014145, 5.206311313809979 -> 21.353168305868465, 7.553023103379077*9.974952012084922
B(590) : 21.353168305868465, 7.553023103379077 -> 8.550459837073495, 8.844047984932196*9.916701569216197
B(591) : 8.550459837073495, 8.844047984932196 -> 2.960144386588503, 9.408308269933427*9.907334609723248
B(592) : 2.960144386588503, 9.408308269933427 -> 0.9989779810767139, 9.603211922456861*10.062235264041492
B(593) : 0.9989779810767139, 9.603211922456861 -> 0.4812022589857371, 9.655218181208863*9.95602711127619
B(594) : 0.4812022589857371, 9.655218181208863 -> 0.18420936835877388, 9.68525661742099*9.887095604100276
B(595) : 0.18420936835877388, 9.68525661742099 -> 0.058695148209066184, 9.697829245539168*9.98313311822498
B(596) : 0.058695148209066184, 9.697829245539168 -> 0.023950403969750247, 9.701297930953345*10.016689347877863
B(597) : 0.023950403969750247, 9.701297930953345 -> 0.010521162471417224, 9.702617574814761*10.176413418027046
S(598) : 0.010521162471417224, 9.702617574814761 -> 57.91011996840225, 3.997490005048286*10.14869485351417
S(599) : 57.91011996840225, 3.997490005048286 -> 80.46137631652583, 1.7501340651315762*10.034572604889352
B(120) : 100.0, 0.0 -> 89.22351616916471, 0.737424283141484*14.613681807339793
B(121) : 89.22351616916471, 0.737424283141484 -> 30.73691237781125, 4.735738918189352*14.627814249203844
B(122) : 30.73691237781125, 4.735738918189352 -> 11.124365229941347, 6.075990076464681*14.633486437801594
B(123) : 11.124365229941347, 6.075990076464681 -> 4.103969144334322, 6.553599033801664*14.699046108244769
B(124) : 4.103969144334322, 6.553599033801664 -> 1.8458323486801027, 6.707236272451593*14.69784809657713
B(125) : 1.8458323486801027, 6.707236272451593 -> 0.8274684969381267, 6.776620419812794*14.677183340461875
B(126) : 0.8274684969381267, 6.776620419812794 -> 0.35867136306621683, 6.808601512125929*14.658571673593801
B(127) : 0.35867136306621683, 6.808601512125929 -> 0.1470285335301413, 6.823081382313029*14.616348544658756
B(128) : 0.1470285335301413, 6.823081382313029 -> 0.05242196397003518, 6.829531589635054*14.667213755606296
B(129) : 0.05242196397003518, 6.829531589635054 -> 0.0220618711279958, 6.831599483934581*14.681646372826334
B(130) : 0.0220618711279958, 6.831599483934581 -> 0.009687341723340607, 6.832442626835541*14.676669151296363
B(131) : 0.009687341723340607, 6.832442626835541 -> 0.004192740843925101, 6.832816669269133*14.689779516868914
B(132) : 0.004192740843925101, 6.832816669269133 -> 0.0018841404179349777, 6.832974022080733*14.671491424345259
B(133) : 0.0018841404179349777, 6.832974022080733 -> 0.0008031335566103864, 6.833047690549921*14.673942233897549
B(134) : 0.0008031335566103864, 6.833047690549921 -> 0.00034483220705015284, 6.833078969853838*14.651903724744182
B(135) : 0.00034483220705015284, 6.833078969853838 -> 0.0001384484763907574, 6.833093062966495*14.644297230470784
B(136) : 0.0001384484763907574, 6.833093062966495 -> 5.425495520290229e-05, 6.833098786321129*14.710519717142233
B(137) : 5.425495520290229e-05, 6.833098786321129 -> 2.5803840679950072e-05, 6.833100724564449*14.678814686791497
B(138) : 2.5803840679950072e-05, 6.833100724564449 -> 1.1238055827314849e-05, 6.833101716171787*14.689065222818552
B(139) : 1.1238055827314849e-05, 6.833101716171787 -> 5.040026166225136e-06, 6.833102139875595*14.628213262238983
B(140) : 5.040026166225136e-06, 6.833102139875595 -> 1.87258822284436e-06, 6.83310235655032*14.618400618013943
B(141) : 1.87258822284436e-06, 6.83310235655032 -> 6.725161451129204e-07, 6.833102438002982*14.733368458634912
B(142) : 6.725161451129204e-07, 6.833102438002982 -> 3.3927837709100283e-07, 6.833102460638965*14.721594502778139
B(143) : 3.3927837709100283e-07, 6.833102460638965 -> 1.6611247152550344e-07, 6.833102472443716*14.66917045146634
B(144) : 1.6611247152550344e-07, 6.833102472443716 -> 7.03196485780917e-08, 6.833102478965079*14.689079536918445
B(145) : 7.03196485780917e-08, 6.833102478965079 -> 3.153812152147195e-08, 6.833102481606301*14.683178297920918
B(146) : 3.153812152147195e-08, 6.833102481606301 -> 1.3909435583793297e-08, 6.833102482804586*14.711591776438846
B(147) : 1.3909435583793297e-08, 6.833102482804586 -> 6.634227642468332e-09, 6.833102483296981*14.775123131272165
B(148) : 6.634227642468332e-09, 6.833102483296981 -> 3.6971321811602393e-09, 6.8331024834952245*14.815634109367684
K(150) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.927382213654951
K(151) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.865771990136349
K(152) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.867125466088131
K(153) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.884057366659986
K(154) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.92699716155763
K(155) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.910036606346717
K(156) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.977301524248624
K(157) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.92041519574945
K(158) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.921517446482023
K(159) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.955611063289806
K(160) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.985525563737001
K(161) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.91654302281293
K(162) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.9762601162223
K(163) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*15.12793794201241
K(164) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*15.15365389632567
K(165) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*15.107909933610902
K(166) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*15.124810493747807
K(167) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*15.146188105016986
K(168) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*15.165636603575578
K(169) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*15.144601269141676
K(170) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*15.09493087686794
K(171) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*15.037846993498256
K(172) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*15.018007156326345
K(173) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*15.01757620516694
K(174) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.982515202336346
K(175) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.946174410198136
K(176) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.986892042113043
K(177) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*15.024565723292962
K(178) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.95189462335831
K(179) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.971937703697515
K(180) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.946250280916445
K(181) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.944343855289947
K(182) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.898937469798067
K(183) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.896814771336276
K(184) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.83678551729538
K(185) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.884864009188842
K(186) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.856692430501203
K(187) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.926895726880092
K(188) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.952059365962263
K(189) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.975365046663216
K(190) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.92572128639292
K(191) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.96407807023861
K(192) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*15.054114004539995
K(193) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*15.050996185709028
K(194) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*15.05520668451828
K(195) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*15.06783191414211
K(196) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*15.149787593513878
K(197) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*15.12412171741579
K(198) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*15.0996875418275
K(199) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.972567518016803
K(200) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.908645435160189
K(201) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.943635373145224
K(202) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.86074083636349
K(203) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.888170618364924
K(204) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.835987208981978
K(205) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.860108102717923
K(206) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.906445501932168
K(207) : 101.94418952881092, 0.0 -> 101.94418952881092, 0.0*14.861165585137888
B(208) : 101.94418952881092, 0.0 -> 64.60605081427497, 2.531912966240013*14.747007188791532
B(209) : 64.60605081427497, 2.531912966240013 -> 32.07132413748128, 4.733807672460081*14.775786773494342
B(211) : 102.02721490028213, 0.0 -> 54.44325994132435, 3.207188416191202*14.836657153890451
S(212) : 54.44325994132435, 3.207188416191202 -> 83.3171958481582, 1.269221650746399*14.899087240129582
S(213) : 83.3171958481582, 1.269221650746399 -> 96.18301474286106, 0.4069671444699414*14.921138481795065
S(214) : 96.18301474286106, 0.4069671444699414 -> 100.48610116731835, 0.11969585286061474*14.979173172337914
S(215) : 100.48610116731835, 0.11969585286061474 -> 101.87964267449344, 0.026848313024092657*15.008922257161704
S(216) : 101.87964267449344, 0.026848313024092657 -> 102.20587444170894, 0.005061392133545749*14.973743598483688
S(217) : 102.20587444170894, 0.005061392133545749 -> 102.26417027815401, 0.0011683510608003918*14.974369742252785
S(218) : 102.26417027815401, 0.0011683510608003918 -> 102.27762984776041, 0.0002688173625444664*14.962829777805855
S(219) : 102.27762984776041, 0.0002688173625444664 -> 102.28066188974174, 6.558191755572608e-05*14.9188640864112
S(220) : 102.28066188974174, 6.558191755572608e-05 -> 102.28134702738708, 1.9696028672000235e-05*14.931336452432284
B(221) : 102.28134702738708, 1.9696028672000235e-05 -> 72.42678827498062, 2.01278312750856*14.832621800196279
B(222) : 72.42678827498062, 2.01278312750856 -> 41.75014778929669, 4.075052864293058*14.875183366417971
B(223) : 41.75014778929669, 4.075052864293058 -> 26.079749421646458, 5.128094429322461*14.881082464406497
B(224) : 26.079749421646458, 5.128094429322461 -> 16.01671831568754, 5.805124539527875*14.863491230701321
B(225) : 16.01671831568754, 5.805124539527875 -> 9.06449104453203, 6.272968113854103*14.860153377478518
B(226) : 9.06449104453203, 6.272968113854103 -> 5.053491188220242, 6.543251982347997*14.839952819464648
B(227) : 5.053491188220242, 6.543251982347997 -> 2.5154886903477607, 6.71432614231446*14.83568587079452
B(228) : 2.5154886903477607, 6.71432614231446 -> 1.2355892084518403, 6.800746425127061*14.810174651607237
B(229) : 1.2355892084518403, 6.800746425127061 -> 0.5583039469828585, 6.846597813438528*14.771314161050181
B(230) : 0.5583039469828585, 6.846597813438528 -> 0.21881425642235225, 6.86954812460624*14.792378546837464
B(231) : 0.21881425642235225, 6.86954812460624 -> 0.09286685777729567, 6.8780510130547405*14.812307536184699
B(232) : 0.09286685777729567, 6.8780510130547405 -> 0.04226755703197075, 6.881472948471063*14.786749189936454
B(233) : 0.04226755703197075, 6.881472948471063 -> 0.01757183530333153, 6.883150217781018*14.723766530557832
B(234) : 0.01757183530333153, 6.883150217781018 -> 0.005598473396110755, 6.883960254365821*14.781260663832823
B(235) : 0.005598473396110755, 6.883960254365821 -> 0.0022800621184527327, 6.884185440962936*14.736273473521955
B(236) : 0.0022800621184527327, 6.884185440962936 -> 0.0007704136719562621, 6.884287987496097*14.72159418712481
B(237) : 0.0007704136719562621, 6.884287987496097 -> 0.00020920618505501924, 6.8843262469566255*14.668463149986339
B(238) : 0.00020920618505501924, 6.8843262469566255 -> 2.82827348487424e-05, 6.884338581939291*14.6675074557358
B(239) : 2.82827348487424e-05, 6.884338581939291 -> 2.8968877006648514e-06, 6.884340313351577*14.66193081742933
