K(296) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.23196327965387
K(297) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.19394705181793
K(298) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.22495995667857
K(299) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.28497961036734
K(300) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.37765008770594
K(301) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.34483336055476
K(302) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.26607803835229
K(303) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.22263870823477
K(304) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.24245947811809
K(305) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.16218014287604
K(306) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.1244806775307
K(307) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.08757640584689
K(308) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.13950082217835
K(309) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.0749741739515
K(310) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.05414530645876
K(311) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.09437798439606
K(312) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.17820374658127
K(313) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.19639013567283
K(314) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.16383811501139
K(315) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.23395952302593
K(316) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.15942184600259
K(317) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.20322366752004
K(318) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.24895477277644
K(319) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.18340021399176
K(320) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.21471970349306
K(321) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.22496092474725
K(322) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.2311270876966
K(323) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.17842936194748
K(324) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.1742887067166
K(325) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.13698905769817
K(326) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.09994468210675
K(327) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.04448293407434
K(328) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*72.98626608606239
K(329) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*72.97269460160815
K(330) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*72.97596447907233
K(331) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*72.92733090074168
K(332) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*72.95468171460652
K(333) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*72.95177717414772
K(334) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*72.97154810341372
K(335) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*72.99196090464213
K(336) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.0038551792842
K(337) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*72.97648062322712
K(338) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*72.93694436684088
K(339) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*73.01542041026339
K(340) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*72.94823521459021
